#,"By signing this document I consent to participate in this study, and consent to the data processing necessary to enable my participation and to achieve the research goals of this study. ",Please enter your Prolific ID,Counterfactual Quiz 1,Counterfactual Quiz 2,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 3,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention-check question! Please mark the ACTION 2.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 1.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,Useful,Satisfying,Detailed,Complete,Actionable,Reliable,Trustworthy,Confidence,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
ev2kpj8egbmskw49z7c7g2ev2kpj808v,1,5e760da65952c917891efe21,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 2,LANE LEFT,ACTION 3,ACTION 2,LANE LEFT,ACTION 3,IDLE,ACTION 2,ACTION 1,FASTER,ACTION 1,FASTER,ACTION 2,LANE RIGHT,ACTION 1,FASTER,ACTION 1,ACTION 1,FASTER,3,3,4,4,3,2,2,2,completed,2024-01-11 16:12:02,,2024-01-11 16:22:45,1f64ceb60d,
2km4y3urg9f19xoytz2km4ypm5t2njmx,1,5916efdd6f61c500017a0d67,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,LANE RIGHT,ACTION 2,LANE RIGHT,ACTION 1,SLOWER,ACTION 3,ACTION 1,LANE LEFT,ACTION 2,LANE RIGHT,ACTION 2,ACTION 1,LANE RIGHT,ACTION 3,LANE RIGHT,ACTION 1,IDLE,ACTION 1,LANE LEFT,ACTION 1,ACTION 1,LANE LEFT,3,3,3,3,3,4,3,3,completed,2024-01-11 16:11:48,,2024-01-11 16:24:44,0b0edfa3be,
yon38yd5wtmdxqq9cjfefuyon38cs63s,1,5a9bbda1f6dfdd0001ea9639,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 2,SLOWER,ACTION 1,ACTION 2,SLOWER,2,2,3,3,2,2,2,2,completed,2024-01-11 16:11:40,,2024-01-11 16:19:26,c310eaa481,
57x2cbb8s5er9o74cuc857x2cbbnv2gt,1,5a97e4df89de8200013ef012,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 3,LANE LEFT,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 3,ACTION 3,LANE LEFT,ACTION 3,LANE RIGHT,ACTION 2,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 3,FASTER,ACTION 3,SLOWER,ACTION 1,ACTION 3,SLOWER,3,3,4,3,4,2,1,2,completed,2024-01-11 16:11:30,,2024-01-11 16:23:17,b3b68c56e7,
qlw151h1lwyul6qlw151n9u90wetmwxn,1,5bda4059ea656500011d5334,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,FASTER,ACTION 1,LANE RIGHT,ACTION 1,IDLE,ACTION 3,ACTION 1,LANE LEFT,ACTION 1,IDLE,ACTION 2,ACTION 1,LANE LEFT,ACTION 1,LANE LEFT,ACTION 1,FASTER,ACTION 1,LANE LEFT,ACTION 1,ACTION 1,SLOWER,3,3,3,3,3,4,3,3,completed,2024-01-11 16:11:10,,2024-01-11 16:24:58,49e10f553a,
yk0azgxrhjkkyz87pznyk0azxzc4euuo,1,5c4ded8b818d4d00013e69c9,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,SLOWER,ACTION 3,SLOWER,ACTION 1,IDLE,ACTION 3,ACTION 1,IDLE,ACTION 2,LANE RIGHT,ACTION 2,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 2,IDLE,ACTION 1,SLOWER,ACTION 1,ACTION 1,SLOWER,4,4,5,5,5,5,5,5,completed,2024-01-11 16:11:00,,2024-01-11 16:47:10,ddeeb1e320,
rueccwcf4268w7t5pc48zdrueccwcclx,1,5fb2e72ac95e4c9ab7a082da,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,IDLE,ACTION 1,IDLE,ACTION 1,FASTER,ACTION 3,ACTION 2,LANE LEFT,ACTION 3,LANE RIGHT,ACTION 2,ACTION 3,SLOWER,ACTION 2,SLOWER,ACTION 3,FASTER,ACTION 2,LANE RIGHT,ACTION 1,ACTION 2,SLOWER,4,5,4,4,5,4,4,3,completed,2024-01-11 16:10:47,,2024-01-11 16:20:57,0e2710d579,
9vou42ghgjvtehjnc19vouwk9u3y2qgs,1,5bfbf60d18430e000186a0b6,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,LANE RIGHT,ACTION 1,LANE RIGHT,ACTION 3,IDLE,ACTION 3,ACTION 1,SLOWER,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,IDLE,ACTION 3,LANE LEFT,ACTION 2,LANE RIGHT,ACTION 1,LANE RIGHT,ACTION 1,ACTION 2,IDLE,3,2,3,1,3,5,4,5,completed,2024-01-11 16:08:30,,2024-01-11 16:23:40,3884bffc7e,
xldpr9i6u4jcztpy3mc00kmaxldpr9im,1,653fd7be64c956622b29ed16,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,SLOWER,ACTION 1,IDLE,ACTION 2,IDLE,ACTION 3,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 3,SLOWER,ACTION 1,ACTION 2,SLOWER,2,2,3,4,3,2,2,2,completed,2024-01-11 16:07:49,,2024-01-11 16:15:31,7bca7af26a,
2pkb00kmj4frwh0k1pt2pkb0i4ezq86l,1,6021bcb0f5e3eb2374415f94,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,SLOWER,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 3,ACTION 1,IDLE,ACTION 1,IDLE,ACTION 2,ACTION 1,IDLE,ACTION 1,IDLE,ACTION 2,IDLE,ACTION 1,IDLE,ACTION 1,ACTION 1,IDLE,5,5,5,5,5,5,5,5,completed,2024-01-11 16:07:45,,2024-01-11 16:15:03,e1609fb28e,
yh5m3pnonceug1vkdp6tyh5m3pno2c0w,1,58fdcd2be219d00001ee5aa0,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 1,SLOWER,ACTION 2,ACTION 2,SLOWER,ACTION 3,SLOWER,ACTION 3,IDLE,ACTION 3,SLOWER,ACTION 1,ACTION 2,SLOWER,4,4,3,3,4,3,3,4,completed,2024-01-11 16:07:15,,2024-01-11 16:23:57,ac88b3cbc3,
rz3v22m8g686706h3crzw6130shwxp5m,1,61132db9c12a1580079b5260,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 2,IDLE,ACTION 3,ACTION 2,IDLE,ACTION 2,SLOWER,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 1,ACTION 2,IDLE,4,4,3,3,4,3,3,4,completed,2024-01-11 16:07:14,,2024-01-11 16:14:57,7280601d25,
9uwwouawxzpgx42dwo09uwwou0sbbfzm,1,599d8d6289de5b000111903a,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,FASTER,ACTION 2,SLOWER,ACTION 3,FASTER,ACTION 3,ACTION 2,LANE LEFT,ACTION 3,LANE RIGHT,ACTION 2,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 3,IDLE,ACTION 2,SLOWER,ACTION 1,ACTION 3,FASTER,4,3,1,1,4,3,3,4,completed,2024-01-11 16:07:11,,2024-01-11 16:23:40,44be05aa69,
5hr63kg686hez175hr6fazehnkkfgoui,1,5e41db9df2f6bc0781878555,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,SLOWER,ACTION 1,LANE RIGHT,ACTION 2,FASTER,ACTION 3,ACTION 1,LANE LEFT,ACTION 1,IDLE,ACTION 2,ACTION 1,LANE LEFT,ACTION 1,LANE LEFT,ACTION 2,LANE LEFT,ACTION 1,LANE LEFT,ACTION 1,ACTION 3,LANE LEFT,2,3,3,2,2,2,2,2,completed,2024-01-11 16:04:59,,2024-01-11 16:16:13,3b8cfc5210,
8ny7879z8pl8towsuf8ny78739ses8wq,1,615138dd2975bc9beb74001a,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 3,ACTION 2,SLOWER,ACTION 3,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 1,ACTION 2,SLOWER,4,4,4,5,4,5,4,4,completed,2024-01-10 16:46:21,,2024-01-10 17:22:12,128a1755a9,
9nbhx1u0l81y46wrdk9nbhxupmyeol4f,1,5b22b34960c40e000103ae4a,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,IDLE,ACTION 1,LANE LEFT,ACTION 3,IDLE,ACTION 3,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 3,IDLE,ACTION 3,IDLE,ACTION 1,ACTION 2,SLOWER,5,5,5,5,5,5,4,4,completed,2024-01-10 16:43:56,,2024-01-10 16:54:24,f68b419a64,
2rmsf3uikq6y2py42rmsfqjqr80ktouh,1,5979ebe999bd880001771a18,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 3,FASTER,ACTION 3,LANE RIGHT,ACTION 3,LANE LEFT,ACTION 3,ACTION 3,LANE LEFT,ACTION 3,IDLE,ACTION 2,ACTION 3,LANE LEFT,ACTION 3,LANE LEFT,ACTION 3,LANE LEFT,ACTION 3,LANE LEFT,ACTION 1,ACTION 3,SLOWER,5,,5,5,4,3,3,4,completed,2024-01-10 16:43:36,,2024-01-10 16:51:18,f92a7f786a,
zx3o6pjmctcky8zx32cmc6ard8m8tylm,1,5c654e1a1519ac0001666177,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,FASTER,ACTION 1,LANE LEFT,ACTION 2,SLOWER,ACTION 3,ACTION 3,LANE LEFT,ACTION 1,SLOWER,ACTION 2,ACTION 1,LANE LEFT,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 1,ACTION 1,FASTER,3,3,3,2,2,2,2,2,completed,2024-01-10 16:42:54,,2024-01-10 17:07:12,3f9ed07bf9,
