#,"By signing this document I consent to participate in this study, and consent to the data processing necessary to enable my participation and to achieve the research goals of this study. ",Please enter your Prolific ID,Explanations Quiz 1,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 3,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 2.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 1.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,Useful,Satisfying,Detailed,Complete,Actionable,Reliable,Trustworthy,Confidence,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
bjgyi8j5fhh8l35dgbjgyb67rnkjy266,1,563fc664074be600055e9677,The mistake action that led to the collision.,ACTION 1,LANE LEFT,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 3,ACTION 2,LANE LEFT,ACTION 2,FASTER,ACTION 2,ACTION 3,IDLE,ACTION 3,IDLE,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 1,ACTION 1,FASTER,4,2,2,2,3,3,3,3,completed,2024-01-11 13:53:46,,2024-01-11 14:00:32,968e5bb224,
te1n473i7u85168lo51l6te1n473i4ip,1,61479ffdd997b6555aec9617,The mistake action that led to the collision.,ACTION 1,FASTER,ACTION 1,LANE LEFT,ACTION 2,LANE RIGHT,ACTION 3,ACTION 1,SLOWER,ACTION 3,SLOWER,ACTION 2,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 2,LANE RIGHT,ACTION 1,ACTION 2,LANE RIGHT,2,2,2,2,2,2,2,1,completed,2024-01-11 13:53:33,,2024-01-11 14:02:33,fe212cec6c,
g67w9z4ri119xqh0cqg67w9zm9wwzalr,1,5c73de4271cf9a001674d4ab,The mistake action that led to the collision.,ACTION 2,SLOWER,ACTION 1,SLOWER,ACTION 1,IDLE,ACTION 3,ACTION 1,SLOWER,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,IDLE,ACTION 3,LANE RIGHT,ACTION 1,FASTER,ACTION 1,SLOWER,ACTION 1,ACTION 1,SLOWER,2,3,3,3,2,2,2,2,completed,2024-01-11 13:53:30,,2024-01-11 14:07:30,9f9fc05356,
467r3025fybhipr6bx5467r3qkd00qk7,1,600ee8549cf6447c3e5735db,The mistake action that led to the collision.,ACTION 3,LANE RIGHT,ACTION 3,LANE RIGHT,ACTION 2,FASTER,ACTION 3,ACTION 3,FASTER,ACTION 2,LANE RIGHT,ACTION 2,ACTION 3,LANE RIGHT,ACTION 3,SLOWER,ACTION 3,LANE RIGHT,ACTION 2,FASTER,ACTION 1,ACTION 2,FASTER,3,3,2,2,2,2,2,2,completed,2024-01-11 13:53:26,,2024-01-11 14:03:46,e85615f34a,
lar60vz15lzr3f3lar606qs86f0swa5f,1,659d10425ec387624be870a7,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 1,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 2,SLOWER,ACTION 1,ACTION 2,SLOWER,5,5,5,5,5,5,5,5,completed,2024-01-11 13:52:45,,2024-01-11 14:02:58,44dc32328b,
su06tkv6m067hier0g7rasu06tkv6af7,1,5b082f3d61cde20001b6706e,The mistake action that led to the collision.,ACTION 1,IDLE,ACTION 2,IDLE,ACTION 2,SLOWER,ACTION 3,ACTION 2,IDLE,ACTION 1,LANE RIGHT,ACTION 2,ACTION 2,IDLE,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 1,ACTION 2,SLOWER,4,3,3,4,4,3,3,3,completed,2024-01-11 13:52:30,,2024-01-11 14:03:49,6d4d435b83,
jzwk6ycjks8svc9cmmjzwk6y9dzmu606,1,611441946eb8bae76c04cb44,The mistake action that led to the collision.,ACTION 3,SLOWER,ACTION 3,LANE LEFT,ACTION 2,FASTER,ACTION 3,ACTION 3,LANE LEFT,ACTION 1,FASTER,ACTION 2,ACTION 2,LANE RIGHT,ACTION 3,FASTER,ACTION 3,LANE RIGHT,ACTION 1,LANE RIGHT,ACTION 1,ACTION 3,SLOWER,2,2,3,3,2,1,1,2,completed,2024-01-11 13:52:21,,2024-01-11 14:02:52,2c878b12a6,
gu1u42h5e2e6ahpacgu1uj9mb99zj4uq,1,5fa91779e6ca15823bca9382,The mistake action that led to the collision.,ACTION 1,FASTER,ACTION 1,IDLE,ACTION 2,LANE RIGHT,ACTION 3,ACTION 1,LANE RIGHT,ACTION 2,IDLE,ACTION 2,ACTION 1,FASTER,ACTION 2,LANE LEFT,ACTION 2,FASTER,ACTION 2,LANE LEFT,ACTION 1,ACTION 2,SLOWER,3,3,3,3,3,3,3,3,completed,2024-01-11 13:52:21,,2024-01-11 13:59:11,02f1f3d8f9,
wrj1132auniu8n6vydsl6wrj1n048t8c,1,63fa0e53322d19e3814cb1fe,The mistake action that led to the collision.,ACTION 3,FASTER,ACTION 1,FASTER,ACTION 3,FASTER,ACTION 3,ACTION 3,FASTER,ACTION 3,IDLE,ACTION 2,ACTION 3,FASTER,ACTION 3,LANE LEFT,ACTION 3,IDLE,ACTION 3,FASTER,ACTION 1,ACTION 3,FASTER,4,4,4,5,4,4,3,4,completed,2024-01-11 13:51:07,,2024-01-11 13:57:05,24a5ea0eb8,
nzw9jo7ygxwoyingc1nzw9jo7inlgtgt,1,63d45a26ed4e840c5bf567d5,The mistake action that led to the collision.,ACTION 2,LANE RIGHT,ACTION 2,LANE RIGHT,ACTION 2,IDLE,ACTION 3,ACTION 1,LANE RIGHT,ACTION 1,LANE LEFT,ACTION 2,ACTION 3,IDLE,ACTION 1,LANE LEFT,ACTION 3,LANE RIGHT,ACTION 1,LANE LEFT,ACTION 1,ACTION 2,IDLE,1,2,1,2,2,1,2,2,completed,2024-01-11 13:50:49,,2024-01-11 14:02:55,71fa15425b,
74y8dug1zqid5uy856r874y86ylwm7ez,1,60cf6cea0e0bd1da3f52b9f1,The mistake action that led to the collision.,ACTION 3,SLOWER,ACTION 1,LANE LEFT,ACTION 2,IDLE,ACTION 3,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,FASTER,ACTION 2,IDLE,ACTION 1,ACTION 2,IDLE,4,3,3,3,3,3,2,2,completed,2024-01-11 13:50:18,,2024-01-11 14:00:55,3331e2351a,
3idqgsb0zjmmm1mmnrne13idqgsrll6e,1,64e9e906480f7bcc90c0b512,The mistake action that led to the collision.,ACTION 2,SLOWER,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 1,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 3,LANE LEFT,ACTION 2,SLOWER,ACTION 1,ACTION 3,SLOWER,5,5,5,4,5,5,,4,completed,2024-01-11 13:50:12,,2024-01-11 13:59:48,b5a7f73ad5,
wzht2apw2gjvpm9s04wzht2apxt9rrn6,1,5f1c4b819fb17507b94ea713,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 1,IDLE,ACTION 3,ACTION 1,FASTER,ACTION 2,SLOWER,ACTION 2,ACTION 1,IDLE,ACTION 1,IDLE,ACTION 3,IDLE,ACTION 3,LANE RIGHT,ACTION 1,ACTION 3,LANE RIGHT,3,3,3,3,3,3,3,3,completed,2024-01-11 13:49:28,,2024-01-11 14:09:02,8416db1f7c,
f1jrn3rzuduqmdxjmetpf1jrqgvlthy8,1,5d3894798bb75200164c557e,The mistake action that led to the collision.,ACTION 2,LANE LEFT,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 3,ACTION 2,LANE LEFT,ACTION 3,IDLE,ACTION 2,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 1,ACTION 2,LANE LEFT,3,2,2,2,2,1,1,1,completed,2024-01-11 13:49:15,,2024-01-11 13:58:45,a0ad67e765,
rtuqw6fh6uf38g9fh3grtuqwvgnibcxy,1,6000408bd1969105b0553396,The mistake action that led to the collision.,ACTION 2,LANE RIGHT,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 3,ACTION 1,LANE RIGHT,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,LANE LEFT,ACTION 3,SLOWER,ACTION 1,FASTER,ACTION 1,IDLE,ACTION 1,ACTION 3,IDLE,,5,4,4,3,2,3,4,completed,2024-01-11 13:49:05,,2024-01-11 14:08:22,3729cc40ec,
